datahora,cpu_perc,cpu_freq,ram_perc,ram_usada,ram_livre,disco_perc,disco_usado,disco_livre,disco_total,disco_throughput,upload,download,network_total,conexoes,total_processos,identificador,hostname
2026-04-14 18:18:22,12.1,1520.0,92.9,15683170304,1207152640,78.8,402801352704,108263051264,511064403968,0.26,0.18,0.01,0.19,160,335,Aurora,laptop-AURORA
2026-04-14 18:19:22,6.7,2400.0,60.9,10290647040,6599675904,78.8,402750242816,108314161152,511064403968,0.04,0.05,0.01,0.06,131,290,Aurora,laptop-AURORA
2026-04-14 18:20:22,24.9,2400.0,64.0,10816606208,6073716736,78.8,402760114176,108304289792,511064403968,0.04,0.14,0.01,0.14,180,302,Aurora,laptop-AURORA
2026-04-14 18:21:22,11.4,2400.0,63.7,10763624448,6126698496,78.8,402761977856,108302426112,511064403968,0.13,0.23,0.01,0.24,122,302,Aurora,laptop-AURORA
2026-04-14 18:22:22,13.8,1520.0,64.2,10835484672,6054838272,78.8,402772815872,108291588096,511064403968,15.95,0.14,0.02,0.16,136,303,Aurora,laptop-AURORA
2026-04-14 18:23:22,21.7,2400.0,63.6,10744467456,6145855488,78.8,402770767872,108293636096,511064403968,0.71,0.08,0.67,0.75,98,302,Aurora,laptop-AURORA
2026-04-14 18:24:22,11.7,2400.0,63.6,10747342848,6142980096,78.8,402771525632,108292878336,511064403968,0.31,0.27,0.29,0.56,93,301,Aurora,laptop-AURORA
2026-04-14 18:25:22,17.2,2400.0,64.4,10885406720,6004916224,78.8,402769817600,108294586368,511064403968,0.2,0.31,0.13,0.44,101,301,Aurora,laptop-AURORA
2026-04-14 18:26:22,16.9,2400.0,64.0,10803044352,6087278592,78.8,402768023552,108296380416,511064403968,0.0,0.28,0.01,0.29,103,303,Aurora,laptop-AURORA
2026-04-14 18:27:22,21.5,2400.0,65.5,11056705536,5833617408,78.8,402757627904,108306776064,511064403968,0.1,0.31,0.01,0.32,102,306,Aurora,laptop-AURORA
2026-04-14 18:28:22,11.8,2400.0,62.4,10541744128,6348578816,78.8,402758590464,108305813504,511064403968,0.0,0.28,0.01,0.29,95,303,Aurora,laptop-AURORA
2026-04-14 18:29:22,10.6,2400.0,63.0,10644045824,6246277120,78.8,402760019968,108304384000,511064403968,0.01,0.31,4.05,4.35,89,302,Aurora,laptop-AURORA
2026-04-14 18:30:22,11.8,2400.0,63.5,10732220416,6158102528,78.8,402759565312,108304838656,511064403968,0.52,0.32,0.13,0.44,94,301,Aurora,laptop-AURORA
2026-04-14 18:31:22,12.6,2400.0,62.9,10627321856,6263001088,78.8,402773700608,108290703360,511064403968,10.45,0.28,0.01,0.29,92,301,Aurora,laptop-AURORA
2026-04-14 18:32:22,15.4,2400.0,63.0,10648068096,6242254848,78.8,402761113600,108303290368,511064403968,0.77,0.32,0.01,0.33,91,301,Aurora,laptop-AURORA
2026-04-14 18:33:22,45.1,2400.0,63.2,10668261376,6222061568,78.8,402758656000,108305747968,511064403968,115.03,0.29,0.14,0.43,85,305,Aurora,laptop-AURORA
2026-04-14 18:34:22,13.8,2400.0,63.4,10702221312,6188101632,78.8,402759491584,108304912384,511064403968,0.01,0.26,0.01,0.27,90,303,Aurora,laptop-AURORA
2026-04-14 18:35:22,13.7,2400.0,63.6,10745122816,6145200128,78.8,402761035776,108303368192,511064403968,0.0,0.35,0.22,0.57,98,302,Aurora,laptop-AURORA
2026-04-14 18:36:22,19.9,2400.0,63.7,10750791680,6139531264,78.8,402759143424,108305260544,511064403968,0.25,0.29,0.02,0.31,99,303,Aurora,laptop-AURORA
2026-04-14 18:37:22,9.0,2400.0,62.6,10579161088,6311161856,78.8,402759778304,108304625664,511064403968,0.09,0.28,0.31,0.59,86,302,Aurora,laptop-AURORA
2026-04-14 18:38:22,9.5,2400.0,64.0,10809212928,6081110016,78.8,402761084928,108303319040,511064403968,0.0,0.3,0.01,0.31,90,302,Aurora,laptop-AURORA
2026-04-14 18:39:22,8.5,2400.0,63.9,10794536960,6095785984,78.8,402762547200,108301856768,511064403968,0.19,0.29,0.01,0.3,98,303,Aurora,laptop-AURORA
2026-04-14 18:40:22,8.5,2400.0,63.6,10742145024,6148177920,78.8,402763710464,108300693504,511064403968,0.13,0.32,0.14,0.46,96,303,Aurora,laptop-AURORA
2026-04-14 18:41:22,7.8,2400.0,63.3,10693066752,6197256192,78.8,402763788288,108300615680,511064403968,0.04,0.31,0.01,0.32,86,301,Aurora,laptop-AURORA
2026-04-14 18:42:22,7.5,2400.0,62.9,10630410240,6259912704,78.8,402764918784,108299485184,511064403968,0.03,0.26,0.01,0.27,86,302,Aurora,laptop-AURORA
2026-04-14 18:43:22,7.0,2400.0,63.2,10669703168,6220619776,78.8,402765451264,108298952704,511064403968,0.01,0.31,0.34,0.65,87,303,Aurora,laptop-AURORA
2026-04-14 18:44:22,11.0,2400.0,63.8,10782322688,6108000256,78.8,402764222464,108300181504,511064403968,0.0,0.29,0.01,0.3,90,303,Aurora,laptop-AURORA
2026-04-14 18:45:22,16.6,2400.0,64.0,10815873024,6074449920,78.8,402766245888,108298158080,511064403968,0.06,0.27,0.01,0.28,104,302,Aurora,laptop-AURORA
2026-04-14 18:46:22,21.4,2400.0,64.2,10848964608,6041358336,78.8,402765709312,108298694656,511064403968,0.12,0.3,0.14,0.44,95,302,Aurora,laptop-AURORA
