datahora,cpu_perc,cpu_freq,ram_perc,ram_usada,ram_livre,disco_perc,disco_usado,disco_livre,disco_total,disco_throughput,upload,download,network_total,conexoes,total_processos,identificador,hostname
2026-04-14 09:44:54,15.8,2400.0,63.9,10797662208,6092660736,78.9,403470434304,107593969664,511064403968,0.62,0.0,0.0,0.01,93,318,Luiz,laptop-LUIZ
2026-04-14 09:45:54,9.5,1520.0,64.1,10834382848,6055940096,78.9,403470528512,107593875456,511064403968,0.11,0.0,0.0,0.0,90,320,Luiz,laptop-LUIZ
2026-04-14 09:46:54,12.0,1520.0,63.8,10783973376,6106349568,78.9,403470807040,107593596928,511064403968,2.91,0.01,0.18,0.19,88,321,Luiz,laptop-LUIZ
2026-04-14 09:47:54,5.9,1520.0,64.1,10825527296,6064795648,78.9,403471405056,107592998912,511064403968,0.08,0.0,0.0,0.0,81,321,Luiz,laptop-LUIZ
2026-04-14 09:48:54,4.3,2400.0,63.9,10790207488,6100115456,78.9,403471474688,107592929280,511064403968,0.05,0.0,0.0,0.0,80,314,Luiz,laptop-LUIZ
2026-04-14 09:49:54,15.8,2400.0,63.4,10706534400,6183788544,78.9,403471536128,107592867840,511064403968,2.0,0.0,0.01,0.01,76,306,Luiz,laptop-LUIZ
2026-04-14 09:50:54,1.8,1520.0,55.6,9395240960,7495081984,78.9,403455299584,107609104384,511064403968,0.0,0.0,0.0,0.0,80,283,Luiz,laptop-LUIZ
2026-04-14 09:51:54,3.2,2400.0,55.8,9419304960,7471017984,78.9,403455770624,107608633344,511064403968,0.0,0.0,0.0,0.0,86,285,Luiz,laptop-LUIZ
2026-04-14 09:52:54,3.2,2400.0,55.7,9414262784,7476060160,78.9,403455770624,107608633344,511064403968,0.07,0.0,0.01,0.01,78,284,Luiz,laptop-LUIZ
2026-04-14 09:53:54,2.2,2400.0,54.6,9225961472,7664361472,78.9,403456090112,107608313856,511064403968,0.0,0.0,0.0,0.0,76,290,Luiz,laptop-LUIZ
