datahora,cpu_perc,cpu_freq,ram_perc,ram_usada,ram_livre,disco_perc,disco_usado,disco_livre,disco_total,disco_throughput,upload,download,network_total,conexoes,total_processos,identificador,hostname
2026-04-08 09:12:33,31.1,2400.0,51.6,8712511488,8177811456,75.1,384056582144,127007821824,511064403968,0.09,0.01,0.01,0.02,88,256,kaio,laptop-NZ13
2026-04-08 09:13:33,37.3,2400.0,69.9,11808677888,5081645056,75.1,384059576320,127004827648,511064403968,9.01,0.0,0.0,0.0,104,283,kaio,laptop-NZ13
2026-04-08 09:14:33,18.2,2400.0,60.2,10175000576,6715322368,75.0,383385366528,127679037440,511064403968,5.03,0.02,0.96,0.98,200,301,kaio,laptop-NZ13
2026-04-08 09:15:33,5.1,2400.0,59.8,10094551040,6795771904,75.0,383475527680,127588876288,511064403968,0.05,0.02,0.04,0.06,197,294,kaio,laptop-NZ13
2026-04-08 09:16:33,9.6,2400.0,59.5,10055630848,6834692096,75.0,383484178432,127580225536,511064403968,0.01,0.0,0.0,0.0,171,293,kaio,laptop-NZ13
2026-04-08 09:17:33,8.7,2400.0,62.5,10560483328,6329839616,75.0,383491694592,127572709376,511064403968,0.15,0.0,0.0,0.0,138,301,kaio,laptop-NZ13
2026-04-08 09:18:33,13.4,2400.0,67.7,11426463744,5463859200,75.0,383376056320,127688347648,511064403968,1.91,0.0,0.0,0.0,203,309,kaio,laptop-NZ13
2026-04-08 09:19:33,10.2,2400.0,68.4,11555971072,5334351872,75.0,383389036544,127675367424,511064403968,3.02,0.02,0.92,0.93,233,315,kaio,laptop-NZ13
2026-04-08 09:20:33,8.3,2400.0,67.6,11424161792,5466161152,75.0,383352475648,127711928320,511064403968,0.0,0.0,0.0,0.0,175,312,kaio,laptop-NZ13
2026-04-08 09:21:33,14.6,2400.0,68.7,11609772032,5280550912,75.0,383360049152,127704354816,511064403968,2.36,0.01,0.01,0.02,178,318,kaio,laptop-NZ13
2026-04-08 09:22:33,17.0,2400.0,68.5,11564617728,5325705216,75.0,383361359872,127703044096,511064403968,0.22,0.0,0.01,0.01,139,314,kaio,laptop-NZ13
