datahora,cpu_perc,cpu_freq,ram_perc,ram_usada,ram_livre,disco_perc,disco_usado,disco_livre,disco_total,disco_throughput,upload,download,network_total,conexoes,total_processos,identificador,hostname
2026-04-06 13:46:17,10.8,1520.0,68.0,11491385344,5398937600,74.9,382715408384,128348995584,511064403968,0.0,0.0,0.03,0.03,102,298,kaio,laptop-NZ13
2026-04-06 13:47:17,14.8,1520.0,70.2,11849699328,5040623616,74.9,382714957824,128349446144,511064403968,0.29,0.38,0.03,0.4,106,297,kaio,laptop-NZ13
2026-04-06 13:48:17,3.6,2400.0,69.0,11661266944,5229056000,74.9,382714839040,128349564928,511064403968,0.11,0.0,0.0,0.0,107,296,kaio,laptop-NZ13
2026-04-06 13:49:17,3.8,2400.0,68.9,11645554688,5244768256,74.9,382714916864,128349487104,511064403968,0.0,0.0,0.0,0.0,100,297,kaio,laptop-NZ13
2026-04-06 13:50:17,2.8,1520.0,68.7,11599327232,5290995712,74.9,382714941440,128349462528,511064403968,0.06,0.0,0.0,0.0,97,295,kaio,laptop-NZ13
2026-04-06 13:51:17,2.9,2400.0,68.6,11591282688,5299040256,74.9,382715006976,128349396992,511064403968,0.0,0.0,0.0,0.0,94,294,kaio,laptop-NZ13
2026-04-06 13:52:17,4.4,2400.0,68.8,11617910784,5272412160,74.9,382716801024,128347602944,511064403968,0.0,0.0,0.0,0.0,84,297,kaio,laptop-NZ13
2026-04-06 13:53:17,3.3,2400.0,68.6,11595161600,5295161344,74.9,382716952576,128347451392,511064403968,0.06,0.0,0.0,0.0,79,297,kaio,laptop-NZ13
2026-04-06 13:54:17,0.8,1520.0,68.2,11516600320,5373722624,74.9,382717329408,128347074560,511064403968,0.07,0.0,0.0,0.0,78,301,kaio,laptop-NZ13
2026-04-06 13:55:17,3.2,2400.0,64.3,10865377280,6024945664,74.9,382717693952,128346710016,511064403968,0.08,0.01,0.0,0.01,80,299,kaio,laptop-NZ13
2026-04-06 13:56:17,3.5,1520.0,64.4,10883399680,6006923264,74.9,382717718528,128346685440,511064403968,0.15,0.0,0.0,0.0,81,298,kaio,laptop-NZ13
2026-04-06 13:57:17,4.5,1520.0,66.2,11189497856,5700825088,74.9,382705848320,128358555648,511064403968,0.17,0.03,0.06,0.08,160,298,kaio,laptop-NZ13
2026-04-06 13:58:17,6.6,2400.0,62.2,10503913472,6386409472,74.9,382731964416,128332439552,511064403968,3.24,0.01,0.84,0.86,199,297,kaio,laptop-NZ13
2026-04-06 13:59:17,38.8,2400.0,67.2,11357024256,5533298688,74.9,382807855104,128256548864,511064403968,0.3,0.39,0.1,0.49,213,305,kaio,laptop-NZ13
2026-04-06 14:00:17,7.0,2400.0,71.0,11986202624,4904120320,74.9,383004987392,128059416576,511064403968,0.0,0.01,0.0,0.01,105,306,kaio,laptop-NZ13
2026-04-06 14:01:17,3.6,2400.0,70.1,11844308992,5046013952,74.9,383005110272,128059293696,511064403968,0.12,0.0,0.0,0.0,110,306,kaio,laptop-NZ13
2026-04-06 14:02:17,15.0,1520.0,70.6,11919638528,4970684416,74.9,383006998528,128057405440,511064403968,0.55,0.0,0.0,0.0,100,303,kaio,laptop-NZ13
2026-04-06 14:03:17,6.5,2400.0,70.1,11840716800,5049606144,74.9,383006511104,128057892864,511064403968,0.06,0.01,0.0,0.01,101,302,kaio,laptop-NZ13
2026-04-06 14:04:17,11.2,2400.0,70.0,11826110464,5064212480,74.9,383006539776,128057864192,511064403968,0.2,0.0,0.01,0.01,98,301,kaio,laptop-NZ13
2026-04-06 14:05:17,20.3,2400.0,68.8,11617124352,5273198592,74.9,383028305920,128036098048,511064403968,0.36,0.0,0.03,0.03,108,300,kaio,laptop-NZ13
2026-04-06 14:06:17,5.9,1520.0,68.0,11478507520,5411815424,74.9,383006842880,128057561088,511064403968,0.07,0.0,0.0,0.0,102,299,kaio,laptop-NZ13
2026-04-06 14:07:17,2.4,2400.0,68.1,11496800256,5393522688,74.9,383007993856,128056410112,511064403968,0.14,0.0,0.01,0.01,105,303,kaio,laptop-NZ13
2026-04-06 14:08:17,8.9,2400.0,69.1,11666116608,5224206336,74.9,383008342016,128056061952,511064403968,0.07,0.0,0.0,0.0,99,307,kaio,laptop-NZ13
2026-04-06 14:09:17,7.4,2400.0,67.2,11348434944,5541888000,74.9,382993870848,128070533120,511064403968,0.04,0.0,0.0,0.0,115,307,kaio,laptop-NZ13
2026-04-06 14:10:17,5.8,2400.0,66.3,11202404352,5687918592,74.9,382994403328,128070000640,511064403968,0.25,0.0,0.0,0.0,99,307,kaio,laptop-NZ13
2026-04-06 14:11:17,9.7,2400.0,67.1,11337187328,5553135616,74.9,382994862080,128069541888,511064403968,0.0,0.01,0.0,0.02,107,308,kaio,laptop-NZ13
2026-04-06 14:12:17,6.5,2400.0,66.8,11278766080,5611556864,74.9,382994042880,128070361088,511064403968,0.03,0.0,0.0,0.0,101,306,kaio,laptop-NZ13
2026-04-06 14:13:17,7.5,2400.0,66.4,11221626880,5668696064,74.9,382994210816,128070193152,511064403968,0.0,0.0,0.0,0.0,98,308,kaio,laptop-NZ13
2026-04-06 14:14:17,7.1,2400.0,66.3,11196956672,5693366272,74.9,382994489344,128069914624,511064403968,0.06,0.0,0.0,0.01,93,306,kaio,laptop-NZ13
2026-04-06 14:15:17,8.1,1520.0,65.1,10998034432,5892288512,74.9,382994731008,128069672960,511064403968,0.12,0.0,0.01,0.01,92,305,kaio,laptop-NZ13
2026-04-06 14:16:17,7.3,2400.0,66.4,11214630912,5675692032,74.9,382994739200,128069664768,511064403968,0.19,0.0,0.0,0.0,88,305,kaio,laptop-NZ13
2026-04-06 14:17:17,10.8,2400.0,66.4,11216973824,5673349120,74.9,382995120128,128069283840,511064403968,0.33,0.01,0.03,0.04,86,304,kaio,laptop-NZ13
