datahora,cpu_perc,cpu_freq,ram_perc,ram_usada,ram_livre,disco_perc,disco_usado,disco_livre,disco_total,disco_throughput,upload,download,network_total,conexoes,total_processos,identificador,hostname
2026-04-11 12:13:30,23.3,1400.0,91.9,7776686080,681930752,88.1,112250966016,15148937216,127399903232,0.61,0.01,0.0,0.01,222,291,luana,laptop-LUANA
2026-04-11 12:14:30,33.1,1600.0,85.9,7269818368,1188798464,88.1,112254541824,15145361408,127399903232,0.42,0.01,0.13,0.14,212,292,luana,laptop-LUANA
2026-04-11 12:15:30,47.9,1600.0,87.0,7356747776,1101869056,88.1,112279838720,15120064512,127399903232,0.81,0.11,0.07,0.18,211,295,luana,laptop-LUANA
2026-04-11 12:16:30,17.7,1400.0,90.2,7632248832,826368000,88.1,112279998464,15119904768,127399903232,0.55,0.01,0.0,0.01,244,290,luana,laptop-LUANA
2026-04-11 12:17:30,34.7,1400.0,92.8,7852609536,606007296,88.1,112280322048,15119581184,127399903232,1.04,0.02,0.05,0.07,235,290,luana,laptop-LUANA
2026-04-11 12:18:30,45.0,1400.0,89.5,7569481728,889135104,88.1,112276987904,15122915328,127399903232,0.48,0.0,0.0,0.0,233,290,luana,laptop-LUANA
2026-04-11 12:19:30,26.8,1400.0,91.0,7693713408,764903424,88.1,112278192128,15121711104,127399903232,0.55,0.03,0.0,0.03,359,291,luana,laptop-LUANA
2026-04-11 12:20:30,15.1,1400.0,93.2,7884156928,574459904,88.1,112283754496,15116148736,127399903232,0.22,0.01,0.0,0.01,457,295,luana,laptop-LUANA
2026-04-11 12:21:30,61.0,1600.0,93.2,7881400320,577216512,88.1,112283402240,15116500992,127399903232,8.0,0.0,0.0,0.0,369,293,luana,laptop-LUANA
2026-04-11 12:22:30,44.4,1400.0,93.3,7893626880,564989952,88.1,112286625792,15113277440,127399903232,3.31,0.0,0.2,0.2,366,293,luana,laptop-LUANA
