datahora,cpu_perc,cpu_freq,ram_perc,ram_usada,ram_livre,disco_perc,disco_usado,disco_livre,disco_total,disco_throughput,upload,download,network_total,conexoes,total_processos,identificador,hostname
2026-04-08 11:58:43,6.4,2400.0,72.6,12264939520,4625383424,75.2,384158879744,126905524224,511064403968,0.4,0.0,0.01,0.01,141,348,kaio,laptop-NZ13
2026-04-08 11:59:42,6.7,2400.0,71.4,12064829440,4825493504,75.2,384153591808,126910812160,511064403968,0.52,0.0,0.0,0.0,122,346,kaio,laptop-NZ13
2026-04-08 12:00:42,3.9,2400.0,71.2,12021608448,4868714496,75.2,384158105600,126906298368,511064403968,0.0,0.0,0.0,0.0,99,344,kaio,laptop-NZ13
2026-04-08 12:01:42,4.9,2400.0,70.0,11817512960,5072809984,75.2,384158289920,126906114048,511064403968,0.01,0.0,0.0,0.0,88,343,kaio,laptop-NZ13
2026-04-08 12:02:42,4.8,1520.0,70.8,11961057280,4929265664,75.2,384159948800,126904455168,511064403968,0.11,0.0,0.0,0.0,99,345,kaio,laptop-NZ13
2026-04-08 12:03:42,4.4,2400.0,69.8,11790639104,5099683840,75.2,384160014336,126904389632,511064403968,0.89,0.0,0.0,0.0,96,341,kaio,laptop-NZ13
2026-04-08 12:04:42,3.6,2400.0,70.5,11909087232,4981235712,75.2,384161284096,126903119872,511064403968,0.01,0.0,0.0,0.0,88,342,kaio,laptop-NZ13
2026-04-08 12:05:42,5.7,2400.0,70.4,11884199936,5006123008,75.2,384161337344,126903066624,511064403968,0.0,0.0,0.0,0.0,83,341,kaio,laptop-NZ13
2026-04-08 12:06:42,3.2,2400.0,69.7,11771527168,5118795776,75.2,384161468416,126902935552,511064403968,0.0,0.0,0.0,0.0,84,339,kaio,laptop-NZ13
2026-04-08 12:07:42,5.3,1520.0,69.3,11709120512,5181202432,75.2,384161509376,126902894592,511064403968,0.0,0.0,0.01,0.01,83,338,kaio,laptop-NZ13
2026-04-08 12:08:42,9.6,2400.0,71.5,12079824896,4810498048,75.2,384163381248,126901022720,511064403968,0.0,0.0,0.01,0.01,87,339,kaio,laptop-NZ13
2026-04-08 12:09:42,6.3,2400.0,71.8,12122681344,4767641600,75.2,384163405824,126900998144,511064403968,0.0,0.0,0.0,0.0,110,337,kaio,laptop-NZ13
2026-04-08 12:10:42,3.9,2400.0,71.6,12091293696,4799029248,75.2,384164257792,126900146176,511064403968,0.43,0.0,0.0,0.0,121,335,kaio,laptop-NZ13
2026-04-08 12:11:42,4.4,2400.0,71.6,12087402496,4802920448,75.2,384164368384,126900035584,511064403968,0.0,0.0,0.0,0.0,121,335,kaio,laptop-NZ13
2026-04-08 12:12:42,41.0,2400.0,72.2,12191637504,4698685440,75.2,384164790272,126899613696,511064403968,0.68,0.0,0.0,0.0,114,336,kaio,laptop-NZ13
2026-04-08 12:14:24,50.7,2400.0,73.1,12349374464,4540948480,75.2,384163962880,126900441088,511064403968,9.41,42.85,338.27,381.12,97,343,kaio,laptop-NZ13
2026-04-08 12:15:24,3.7,2400.0,70.7,11939344384,4950978560,75.2,384170201088,126894202880,511064403968,0.46,0.0,0.0,0.0,135,341,kaio,laptop-NZ13
2026-04-08 12:16:24,5.0,1520.0,69.7,11764502528,5125820416,75.2,384171245568,126893158400,511064403968,0.0,0.0,0.0,0.0,149,336,kaio,laptop-NZ13
2026-04-08 12:17:24,7.0,2400.0,69.6,11762614272,5127708672,75.2,384171249664,126893154304,511064403968,0.05,0.0,0.03,0.03,115,333,kaio,laptop-NZ13
2026-04-08 12:18:24,7.0,1520.0,69.5,11740659712,5149663232,75.2,384171249664,126893154304,511064403968,0.07,0.0,0.06,0.06,114,333,kaio,laptop-NZ13
2026-04-08 12:19:24,11.4,1520.0,69.0,11650719744,5239603200,75.2,384171384832,126893019136,511064403968,0.69,0.0,0.04,0.04,116,335,kaio,laptop-NZ13
2026-04-08 12:20:24,6.0,2400.0,69.7,11779174400,5111148544,75.2,384243101696,126821302272,511064403968,0.09,0.0,0.01,0.01,119,339,kaio,laptop-NZ13
2026-04-08 12:21:24,7.8,2400.0,70.1,11837587456,5052735488,75.2,384244948992,126819454976,511064403968,0.0,0.0,0.0,0.0,119,332,kaio,laptop-NZ13
2026-04-08 12:22:24,9.8,1520.0,69.8,11782275072,5108047872,75.2,384245141504,126819262464,511064403968,0.3,0.0,0.0,0.0,118,334,kaio,laptop-NZ13
2026-04-08 12:23:24,5.3,2400.0,71.1,12007047168,4883275776,75.2,384243118080,126821285888,511064403968,0.06,0.0,0.0,0.0,118,338,kaio,laptop-NZ13
2026-04-08 12:24:24,7.1,2400.0,70.4,11892912128,4997410816,75.2,384243609600,126820794368,511064403968,0.33,0.01,0.08,0.09,119,337,kaio,laptop-NZ13
